clip_index,bvid,url,title,play_snapshot,duration_seconds,uploader,context_family,context_status,source_class,transcript_status,transcript_model,transcript_characters,segment_count,title_overclaim_signal,title_actionable_signal,title_high_medical_risk,transcript_overclaim_signal,transcript_actionable_signal,transcript_high_medical_risk,transcript_signal_scope,direct_quote_ready,evidence_rule,transcript_asset
1,BV1a3411772o,https://www.bilibili.com/video/BV1a3411772o/,公共场合遇到特尴尬，一个穴位轻松缓解,3226815,134,跟倪师学中医,针灸,已初分系列，待定位集数/时间戳,疑似原声/画面切片（待音画核验）,not_available_yet,,0,0,True,True,False,False,False,False,not_available,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,
2,BV1rD4y147F6,https://www.bilibili.com/video/BV1rD4y147F6/,面相 穷相与富相,2024998,64,实用紫微斗数,天纪,已初分系列，待定位集数/时间戳,疑似原声/画面切片（待音画核验）,not_available_yet,,0,0,False,False,False,False,False,False,not_available,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,
3,BV1Y14y1X7Yp,https://www.bilibili.com/video/BV1Y14y1X7Yp/,提个醒，这个一旦凸起，阳气已大虚,1415370,95,倪师全集字幕版,原课待定位,待回溯原课,疑似原声/画面切片（待音画核验）,not_available_yet,,0,0,False,False,False,False,False,False,not_available,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,
4,BV1VP411W735,https://www.bilibili.com/video/BV1VP411W735/,倪海厦：肾气足，百病除。告诉你一个大补阳气的方法！！！！！！,1405844,60,中医鬼才倪海厦合集,原课待定位,待回溯原课,疑似原声/画面切片（待音画核验）,not_available_yet,,0,0,True,True,False,False,False,False,not_available,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,
5,BV1jD4y1K7Re,https://www.bilibili.com/video/BV1jD4y1K7Re/,看面部的这两个地方，可以看出这个人一生是富贵命还是劳碌命,1146631,158,生活一小招,天纪,已初分系列，待定位集数/时间戳,疑似原声/画面切片（待音画核验）,not_available_yet,,0,0,False,True,False,False,False,False,not_available,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,
6,BV1iv4y147Wb,https://www.bilibili.com/video/BV1iv4y147Wb/,睡不着，揉一揉安眠穴，快速入睡，睡的香,1128036,102,可可学中医,针灸,已初分系列，待定位集数/时间戳,疑似原声/画面切片（待音画核验）,not_available_yet,,0,0,True,True,False,False,False,False,not_available,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,
7,BV1rm4y1L7XV,https://www.bilibili.com/video/BV1rm4y1L7XV/,提个醒，这种眼睛眉毛的人，不要来往,1086233,31,倪海厦完整字幕版,天纪,已初分系列，待定位集数/时间戳,疑似原声/画面切片（待音画核验）,not_available_yet,,0,0,True,False,False,False,False,False,not_available,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,
8,BV1DY411M75v,https://www.bilibili.com/video/BV1DY411M75v/,万般皆是命，半点不由人,1025396,38,实用紫微斗数,天纪,已初分系列，待定位集数/时间戳,疑似原声/画面切片（待音画核验）,not_available_yet,,0,0,False,False,False,False,False,False,not_available,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,
9,BV1pF7nzREGL,https://www.bilibili.com/video/BV1pF7nzREGL/,西医 中医 道医区别 您觉得对吗？,1009072,21,中研太和,原课待定位,待回溯原课,疑似原声/画面切片（待音画核验）,not_available_yet,,0,0,False,False,False,False,False,False,not_available,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,
10,BV1ut4y1J7wM,https://www.bilibili.com/video/BV1ut4y1J7wM/,倪海厦：男人要学会藏精,1006168,64,昆达里尼唤醒,针灸,已初分系列，待定位集数/时间戳,疑似原声/画面切片（待音画核验）,not_available_yet,,0,0,False,False,False,False,False,False,not_available,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,
